,subjectGS2,verbGS2,objectGS2,sentenceGS2,maximumCosineSimilarity
0,sensor,usesMethod,pv system,sensor usesMethod pv system,0.8331541056312375
1,machine learning,usesTask,event detection event,machine learning usesTask event detection event,0.8122893066517821
2,machine learning,usesTask,network attack,machine learning usesTask network attack,0.8755421220613132
3,network security,usesMethod,multiagent system,network security usesMethod multiagent system,0.8551297407140949
4,multiagent system,usesTask,obstacle avoidance,multiagent system usesTask obstacle avoidance,1.0000000000000002
5,action recognition,usesMethod,language model,action recognition usesMethod language model,0.8130616855715055
6,neural network,usesMaterial,structured set of data,neural network usesMaterial structured set of data,0.8890176547597747
7,neural network,usesTask,nlp task,neural network usesTask nlp task,1.0
8,neural network,usesMaterial,library,neural network usesMaterial library,0.8687843688580551
9,wearable technology,usesMethod,user interface,wearable technology usesMethod user interface,0.8904592429848578
10,action recognition,usesTask,feature extraction,action recognition usesTask feature extraction,0.8818475735448197
11,autonomous vehicle,usesTask,vehicle navigation,autonomous vehicle usesTask vehicle navigation,0.917206440215671
12,face detection,usesMaterial,web page,face detection usesMaterial web page,0.8299190057436694
13,module module,usesMethod,evolutionary algorithm,module module usesMethod evolutionary algorithm,0.9034887545925167
14,transmission assembly,usesMethod,neural network,transmission assembly usesMethod neural network,0.7241682918537948
15,tracking system,usesMaterial,keyboard,tracking system usesMaterial keyboard,0.7773944411732695
16,deep learning,usesMaterial,hyperspectral data,deep learning usesMaterial hyperspectral data,0.8406094108069263
17,cylinder a,usesMethod,neural network,cylinder a usesMethod neural network,0.6963639404116275
18,image analysis,usesTask,parallel computation,image analysis usesTask parallel computation,0.878979199771768
19,machine learning,usesMaterial,sensitive information data,machine learning usesMaterial sensitive information data,0.7961266815369472
20,image analysis,usesMaterial,ecg signal,image analysis usesMaterial ecg signal,0.8130261275214296
21,computational complexity,usesMethod,game theory,computational complexity usesMethod game theory,0.8948303730447289
22,machine learning,usesMaterial,multimedia content,machine learning usesMaterial multimedia content,0.7915483591259049
23,gearbox d,usesMethod,acquisition device,gearbox d usesMethod acquisition device,0.8318665764923993
24,face detection,usesMethod,ensemble learning,face detection usesMethod ensemble learning,0.8449973759180156
25,face detection,usesMaterial,satellite photo image,face detection usesMaterial satellite photo image,0.8405326240230399
26,wearable technology,usesTask,verification,wearable technology usesTask verification,0.8985674608732945
27,action recognition,usesMaterial,handwritten digit recognition,action recognition usesMaterial handwritten digit recognition,0.8018242708008761
28,graphics processing unit,usesMaterial,human pose,graphics processing unit usesMaterial human pose,0.6914765238167898
29,power switch,usesMethod,sensor,power switch usesMethod sensor,0.8060220343850826
30,generative model,usesMethod,evolutionary algorithm,generative model usesMethod evolutionary algorithm,0.7895077833810614
31,sentiment analysis,usesMaterial,matlab,sentiment analysis usesMaterial matlab,0.7782546158965207
32,graphics processing unit,usesMethod,gaussian mixture model,graphics processing unit usesMethod gaussian mixture model,0.7837269716149406
33,wearable technology,usesTask,image enhancement,wearable technology usesTask image enhancement,0.8432067205722282
34,sensor,usesTask,validation,sensor usesTask validation,1.0000000000000002
35,packet loss,usesMethod,acquisition device,packet loss usesMethod acquisition device,0.8021577013045279
36,multiagent system,usesMaterial,incomplete information,multiagent system usesMaterial incomplete information,0.7396020817371688
37,image analysis,usesMaterial,face photo image,image analysis usesMaterial face photo image,0.8863070659642444
38,deep learning,usesTask,computer vision problem,deep learning usesTask computer vision problem,0.9084612519391564
