s,p,o,type_s,type_o,scicheck_score,num_connections_train_subject,num_connections_train_object,freq_abstracts_subject,freq_abstracts_object,harmomic_mean_frequences,freq_abstracts_s&o,max_cos_sim,graph_emb_similarity,word_emb_similarity,label
autonomous_vehicle,usesTask,vehicle_navigation,Task,Task,0.8788967728614807,72,26,12184,1885,3264.885919397256,0,0.917206440215671,0.41919276,0.6164716482162476,1
sensor,usesTask,object_recognition,Method,Task,0.5188645124435425,9208,230,509693,9462,18579.09551482698,7932,1.0,0.29411066,0.33508580923080444,1
sensor,usesMaterial,motion_data,Method,Material,0.8754394054412842,9208,67,509693,3694,7334.840741974378,9867,1.0000000000000002,0.18896802,0.40013980865478516,1
game_theory,usesMaterial,electricity,Method,Material,0.9562952518463135,233,972,6944,74134,12698.54944621229,369,0.8430737074887024,0.085893095,0.17335215210914612,1
sensor,usesTask,gesture_recognition,Method,Task,0.7470496296882629,9208,284,509693,7390,14568.768534258523,16965,1.0,0.44524446,0.33734363317489624,1
tracking_system,usesTask,software_project,Method,Task,0.959804117679596,306,41,3631,5117,4247.788523090992,2,0.8346179313419948,0.259866,0.37356436252593994,1
evolutionary_algorithm,usesMaterial,broadband,Method,Material,0.5002606511116028,634,160,14296,17460,15720.377881345257,0,0.7931878085338152,0.038045563,0.04100493714213371,1
autonomous_vehicle,usesMaterial,browser_web_page,Task,Material,0.8496229648590088,72,150,12184,18,35.94689395181118,0,0.6046267706042899,-0.06325335,0.04239478334784508,0
tracking_system,usesTask,object_tracking,Method,Task,0.9997680187225342,306,191,3631,4499,4018.6639606396066,738,0.926195504336854,0.462704,0.789893627166748,1
tracking_system,usesMaterial,keyboard,Method,Material,0.9380486011505127,306,616,3631,27116,6404.409926171659,0,0.7773944411732695,0.12429995,0.11877044290304184,1
pattern_recognition,usesMethod,decision_support_system,Task,Method,0.9971701502799988,411,309,15873,9004,11490.171001326527,96,0.8287729006191539,0.3513321,0.31903696060180664,1
tracking_system,usesTask,pedestrian_detection,Method,Task,0.9668840169906616,306,97,3631,2627,3048.4618088846278,0,0.8926432167122924,0.3615533,0.38161706924438477,1
